,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1175,Maruti Ertiga,17,Third Party insurance,Diesel,7,83000,First Owner,Manual,2017,24,1248,1248.0,885.0,7.8
1176,Hyundai Grand,20,Comprehensive,Petrol,5,17778,First Owner,Automatic,2020,20,1197,1197.0,8186.0,7.04
1177,Hyundai Grand,21,Third Party,Petrol,5,16499,First Owner,Automatic,2021,20,1197,1197.0,8186.0,7.14
1178,Renault Scala,,Third Party insurance,Diesel,5,120000,First Owner,Manual,2012,21,1461,1461.0,848.0,2.25
1179,Honda Jazz,16,Comprehensive,Petrol,5,33364,First Owner,Manual,2016,18,1199,1199.0,887.0,4.79
1180,Hyundai Grand,16,Comprehensive,Petrol,5,64784,First Owner,Manual,2016,18,1197,1197.0,82.0,4.26
1181,Mercedes-Benz E-Class,14,Comprehensive,Petrol,5,59000,First Owner,Automatic,2014,12,1991,1991.0,184.0,19.9
1182,Hyundai i10,14,Third Party,Petrol,5,29584,First Owner,Manual,2014,1086,6805,6805.0,9904.0,3.7
1183,Nissan Sunny,,Third Party insurance,Petrol,5,80000,Third Owner,Manual,2013,16,1498,1498.0,977.0,3.0
1184,Honda City,11,Third Party,Petrol,5,87217,First Owner,Manual,2011,17,1497,1497.0,1186600.0,3.73
1185,Tata Tiago,18,Third Party,Petrol,5,77482,Second Owner,Manual,2017,23,1199,1199.0,84.0,3.99
1186,Honda Jazz,18,Comprehensive,Petrol,5,60000,First Owner,Automatic,2018,19,1199,1199.0,887.0,6.25
1187,Tata Tiago,20,Third Party insurance,Petrol,5,34312,First Owner,Manual,2020,20,1199,1199.0,8482.0,5.57
1188,Tata Tiago,21,Third Party,Petrol,5,53000,First Owner,Automatic,2021,19,1199,1199.0,8482.0,6.5
1189,Honda Amaze,17,Comprehensive,Petrol,5,45000,First Owner,Automatic,2017,18,1199,1199.0,887.0,5.75
1190,Honda Amaze,19,Comprehensive,Petrol,5,23000,First Owner,Manual,2019,17,1198,1198.0,867.0,6.9
1191,Maruti Swift,15,Comprehensive,Petrol,5,80001,First Owner,Manual,2015,21,1197,1197.0,8180.0,4.9
1192,Maruti Swift,15,Comprehensive,Diesel,5,62000,First Owner,Manual,2015,28,1248,1248.0,7402.0,5.5
1193,Ford Ecosport,20,Third Party insurance,Petrol,5,57000,First Owner,Automatic,2020,14,1497,1497.0,12136.0,8.5
1194,Honda Brio,15,Comprehensive,Petrol,5,21000,First Owner,Manual,2015,19,1198,1198.0,868.0,3.9
1195,Maruti Swift,13,Third Party,Petrol,5,43415,First Owner,Manual,2013,22,1197,1197.0,8850.0,4.08
1196,Hyundai i20,17,Third Party,Diesel,5,24412,First Owner,Manual,2017,22,1396,1396.0,8873.0,7.58
1197,Kia Carnival,21,Zero Dep,Diesel,7,45000,First Owner,Automatic,2021,14,2199,2199.0,1972.0,25.9
1198,Hyundai Grand,15,Third Party,Petrol,5,24020,First Owner,Manual,2015,1197,82,82.0,114.0,4.8
1199,Maruti Swift,18,Third Party insurance,Petrol,5,70251,Second Owner,Manual,2018,21,1197,1197.0,8180.0,5.33
1200,Honda City,18,Comprehensive,Petrol,5,44000,First Owner,Automatic,2018,18,1498,1498.0,11935.0,9.9
1201,Maruti Alto,21,Comprehensive,CNG,4,86212,First Owner,Manual,2021,796,4036,4036.0,60.0,4.2
1202,Hyundai Verna,18,Third Party insurance,Petrol,5,64000,First Owner,Automatic,2018,17,1591,1591.0,1213.0,9.5
1203,Hyundai Grand,15,Third Party insurance,Petrol,5,39458,First Owner,Manual,2015,1197,82,82.0,114.0,4.65
1204,Maruti Swift,13,Third Party insurance,Diesel,5,70598,First Owner,Manual,2012,22,1248,1248.0,74.0,3.56
1205,Honda Amaze,17,Comprehensive,Petrol,5,94000,First Owner,Manual,2017,17,1198,1198.0,867.0,4.75
1206,Hyundai Grand,16,Third Party insurance,Petrol,5,48325,First Owner,Manual,2016,1197,82,82.0,114.0,4.3
1207,Toyota Corolla,16,Comprehensive,Petrol,5,66000,Second Owner,Automatic,2016,14,1798,1798.0,13803.0,6.5
1208,Honda City,15,Comprehensive,Diesel,5,86001,First Owner,Manual,2015,26,1498,1498.0,986.0,5.75
1209,Toyota Corolla,14,Comprehensive,Petrol,5,62000,First Owner,Automatic,2014,14,1798,1798.0,13803.0,6.9
1210,Hyundai Verna,16,Comprehensive,Petrol,5,50000,First Owner,Manual,2016,17,1396,1396.0,1055.0,6.25
1211,Hyundai Creta,16,Comprehensive,Diesel,5,79000,First Owner,Manual,2016,20,1582,1582.0,1262.0,9.25
1212,Maruti Swift,17,Comprehensive,Diesel,5,74002,First Owner,Automatic,2017,28,1248,1248.0,7402.0,6.75
1213,Mercedes-Benz S-Class,14,Comprehensive,Petrol,5,74000,First Owner,Automatic,2014,7,5461,5461.0,3629.0,52.9
1214,Hyundai Verna,15,Third Party,Diesel,5,65000,Second Owner,Manual,2015,23,1582,1582.0,12632.0,5.9
1215,Hyundai i20,21,Comprehensive,Petrol,5,39718,Second Owner,Manual,2021,21,1197,1197.0,8180.0,7.58
1216,Hyundai Grand,17,Third Party,Petrol,5,67529,First Owner,Manual,2016,1197,82,82.0,114.0,4.5
1217,Audi Q7,,Third Party insurance,Diesel,7,110000,Second Owner,Automatic,2016,14,2967,2967.0,245.0,40.0
1218,Maruti Baleno,17,Third Party insurance,Petrol,5,88281,First Owner,Manual,2017,21,1197,1197.0,831.0,5.01
1219,Hyundai Grand,16,Third Party,Petrol,5,64160,Second Owner,Manual,2016,1197,82,82.0,114.0,4.12
1220,Hyundai Tucson,18,Comprehensive,Diesel,5,88000,First Owner,Automatic,2018,16,1995,1995.0,18246.0,15.5
1221,Maruti Swift,17,Zero Dep,Petrol,5,77253,First Owner,Manual,2017,22,1197,1197.0,8850.0,4.91
